regionName,exports,exportsm3,imports,importsm3,mining.value,net.exports,net.imports,npc.bounties,total.destroyed,total.production,trade.value
Branch,9.93963E+12,4619826468,2.14556E+12,4678851023,1.10879E+12,7.79407E+12,0,4.02321E+12,5.65789E+11,2.49841E+12,1.04836E+12
Aridia,3.26775E+12,1394638054,1.85637E+12,1376321827,2.98014E+11,1.41139E+12,0,46410268218,3.17175E+11,5.98371E+11,1.05297E+12
Tenerifis,2.15595E+12,4315621920,5.50044E+12,3484533464,1.94172E+11,0,3.34449E+12,7.17291E+11,7.36211E+11,4.70733E+11,1.05433E+12
Detorid,2.70428E+12,4421499647,2.58561E+12,4874176734,1.49009E+12,1.18672E+11,0,2.72041E+12,9.77524E+11,4.23631E+12,1.07204E+12
Kor-Azor,1.16533E+13,7913121220,9.55527E+12,8046835513,3.61833E+11,2.09804E+12,0,1.14473E+11,2.05835E+11,6.48977E+11,1.26322E+12
Catch,5.52335E+12,3631066641,4.51907E+12,4543734385,7.24573E+11,1.00428E+12,0,9.8228E+11,9.88167E+11,1.80937E+12,1.41062E+12
Derelik,4.99711E+12,5255001004,5.30194E+12,4837451153,5.5748E+11,0,3.04833E+11,54835645066,5.91707E+11,5.17208E+11,1.48511E+12
Placid,3.22398E+12,2924091843,3.21377E+12,3048780860,2.80018E+11,10203642955,0,58946415656,7.23933E+11,4.80574E+11,1.49412E+12
Genesis,8.56055E+12,8065855450,1.03431E+13,7793818619,7.03506E+11,0,1.7826E+12,1.87035E+11,4.12935E+11,6.26864E+11,1.5725E+12
Cloud Ring,1.62222E+13,49143460204,1.29253E+12,1987047433,2.43759E+11,1.49297E+13,0,1.00809E+11,3.70611E+11,3.48335E+11,1.58907E+12
Everyshore,3.11881E+12,4775722052,2.88545E+12,4985464886,1.14316E+12,2.33358E+11,0,83515842763,1.59004E+11,6.33611E+11,1.99706E+12
Verge Vendor,1.96887E+12,2399085249,1.97358E+12,2479333512,2.52751E+11,0,4709076509,84337357178,2.79747E+11,7.07629E+11,2.36107E+12
Tash-Murkon,3.81494E+12,4774816992,4.59202E+12,5374735256,7.26551E+11,0,7.77077E+11,1.09018E+11,3.15002E+11,1.98908E+12,2.38066E+12
The Citadel,3.50638E+13,36780779504,3.46484E+13,37416228241,6.1352E+11,4.15392E+11,0,7.42691E+11,1.898E+12,9.48111E+12,3.55522E+12
Essence,1.44369E+13,12303199487,1.41478E+13,12263916728,6.72316E+11,2.89046E+11,0,1.10045E+11,4.41943E+11,9.12039E+11,4.15726E+12
Esoteria,1.81059E+12,3421808003,3.11361E+12,3970294396,4.20957E+12,0,1.30303E+12,3.52339E+12,4.96232E+11,7.95735E+12,6.30221E+12
Geminate,3.30829E+12,5403131765,3.24253E+12,5820097178,1.18298E+12,65765113250,0,1.51811E+12,1.44061E+12,4.23656E+12,6.74004E+12
Heimatar,7.65075E+12,12928479157,7.85495E+12,14949037503,4.86618E+11,0,2.04198E+11,1.14089E+11,7.95591E+11,1.84974E+12,8.51403E+12
Metropolis,1.51313E+13,21586648112,1.37168E+13,16392601387,1.36714E+12,1.41451E+12,0,4.92187E+11,1.04592E+12,1.79734E+12,9.24122E+12
Lonetrek,2.34921E+13,21755912874,2.34862E+13,21293180643,1.10318E+12,5978989601,0,5.97488E+11,1.2876E+12,1.09053E+13,1.03728E+13
Sinq Laison,2.29915E+13,24637627193,2.19618E+13,23210344166,1.13365E+12,1.02971E+12,0,2.81211E+11,1.10893E+12,4.15353E+12,1.83637E+13
Delve,7.70543E+12,15141556399,2.71703E+13,60576708990,1.65191E+13,0,1.94648E+13,8.41279E+12,1.64209E+12,3.51586E+13,3.76437E+13
Domain,2.39425E+13,21881048084,2.22589E+13,21656109522,1.47528E+12,1.68363E+12,0,2.62349E+11,1.2895E+12,5.3055E+12,4.71612E+13
The Forge,3.00024E+13,31433621489,3.2085E+13,31471889611,1.57745E+12,0,2.08253E+12,4.81233E+11,2.86658E+12,2.84527E+13,5.30316E+14
