regionName,exports,exportsm3,imports,importsm3,mining.value,net.exports,net.imports,npc.bounties,total.destroyed,total.production,trade.value
Period Basis,7.34664E+12,7923985363,2.25074E+13,9415524786,4.01351E+11,0,1.51607E+13,2.5631E+12,3.9382E+11,1.1561E+12,4.47686E+11
Perrigen Falls,5.31322E+13,37757624574,5.37399E+13,39174489067,5.65194E+11,0,6.07712E+11,1.90993E+12,3.24755E+11,1.00789E+12,4.94706E+11
Molden Heath,4.31571E+13,49689678734,4.25427E+13,49702629496,1.34065E+11,6.14397E+11,0,82263601820,1.97932E+11,2.4648E+11,5.62598E+11
Outer Ring,6.31314E+12,8406659080,5.67636E+12,8972834753,42783559526,6.36787E+11,0,38709454946,49731472450,1.57554E+11,5.78371E+11
Solitude,4.40287E+13,37333859252,4.05854E+13,37585792778,1.43161E+11,3.44329E+12,0,42107822545,1.17296E+11,2.50582E+11,5.82746E+11
Querious,1.61071E+14,1.93504E+11,1.74901E+14,2.03284E+11,2.07383E+12,0,1.38297E+13,2.28249E+12,5.72405E+11,2.21418E+12,5.92815E+11
Devoid,1.07415E+14,1.3235E+11,1.03392E+14,1.34408E+11,1.60807E+11,4.02341E+12,0,49011091437,2.64307E+11,6.97556E+11,6.38951E+11
Insmother,7.39533E+13,60052359798,7.74041E+13,60037245217,7.18506E+11,0,3.45084E+12,1.67824E+12,3.15585E+11,2.772E+12,7.3401E+11
Cobalt Edge,2.33343E+13,14898629575,1.96744E+13,11593828191,1.45981E+12,3.65992E+12,0,3.09834E+12,4.19188E+11,3.38114E+12,8.61038E+11
Malpais,4.99772E+13,36349171472,5.19002E+13,34098478806,8.47023E+11,0,1.92302E+12,1.87926E+12,3.80229E+11,2.97783E+12,8.74157E+11
Black Rise,9.25395E+13,1.25177E+11,8.32734E+13,1.40922E+11,67911398175,9.26616E+12,0,63920509402,1.45677E+12,6.68449E+11,8.83965E+11
Aridia,7.91826E+13,67229125680,7.20133E+13,57904188887,54855515045,7.16933E+12,0,54455317734,5.90242E+11,8.73597E+11,9.07712E+11
Curse,6.79694E+13,71997047592,6.9906E+13,76376435266,8096717915,0,1.93667E+12,1.14743E+11,4.34886E+11,5.60172E+11,9.74359E+11
Immensea,4.71467E+13,40978650890,5.13657E+13,41197739985,2.26874E+11,0,4.21905E+12,9.77215E+11,4.43417E+11,1.28973E+12,1.04163E+12
Fade,3.70112E+13,60444863522,3.82236E+13,62246729202,3.54973E+11,0,1.21239E+12,1.47188E+12,4.5515E+11,8.69232E+11,1.07415E+12
Kador,1.23553E+14,1.47528E+11,1.07045E+14,1.45808E+11,4.08247E+11,1.65087E+13,0,1.56979E+11,1.87084E+11,9.3872E+11,1.15533E+12
Derelik,1.32604E+14,1.53195E+11,1.3453E+14,1.53143E+11,1.72209E+11,0,1.92669E+12,67953556166,4.82572E+11,4.29372E+11,1.18301E+12
Khanid,2.13346E+14,1.93546E+11,2.06041E+14,1.98746E+11,1.97087E+11,7.3042E+12,0,48199112163,5.60383E+11,5.33601E+11,1.24114E+12
Geminate,8.69707E+13,86094334643,9.62518E+13,88480365447,1.56078E+11,0,9.28117E+12,1.92162E+12,4.85014E+11,1.71617E+12,1.32392E+12
Kor-Azor,2.51866E+14,2.43137E+11,2.41203E+14,2.44649E+11,1.5614E+11,1.06631E+13,0,1.1141E+11,2.02102E+11,5.19328E+11,1.37126E+12
Branch,1.61165E+13,19071617474,2.72034E+13,16908849830,5.91754E+11,0,1.1087E+13,3.45584E+12,3.40322E+11,2.37405E+12,1.46959E+12
Catch,1.2091E+14,1.09158E+11,1.34828E+14,1.11534E+11,1.63688E+11,0,1.39181E+13,9.99991E+11,2.0638E+12,1.23754E+12,1.75785E+12
Impass,2.38688E+13,33738359892,4.53963E+13,31602351156,2.06012E+12,0,2.15276E+13,1.65484E+12,2.54945E+11,4.63547E+12,2.06342E+12
Everyshore,8.20326E+13,1.41396E+11,8.17285E+13,1.41461E+11,7.47756E+11,3.04048E+11,0,95065286593,1.54105E+11,6.9893E+11,2.20844E+12
Placid,9.60606E+13,1.24327E+11,9.09036E+13,1.29712E+11,65909228460,5.15699E+12,0,58176680932,9.24565E+11,6.40272E+11,2.30769E+12
Esoteria,2.13102E+13,25369887804,3.80807E+13,32190358127,1.32631E+12,0,1.67705E+13,2.67391E+12,3.90091E+11,4.17337E+12,2.32642E+12
Genesis,2.30723E+14,2.35227E+11,2.2329E+14,2.35432E+11,3.88367E+11,7.43301E+12,0,2.40632E+11,4.58124E+11,6.65605E+11,2.35852E+12
Deklein,4.19193E+13,64825482282,5.72016E+13,52996091603,1.67193E+12,0,1.52823E+13,3.43134E+12,5.82213E+11,5.11537E+12,2.71939E+12
Tash-Murkon,1.04824E+14,1.33498E+11,1.03542E+14,1.32703E+11,5.34546E+11,1.28202E+12,0,1.27328E+11,2.31982E+11,1.69498E+12,2.75516E+12
Pure Blind,6.07189E+13,71800924023,6.21066E+13,73560057855,68252905042,0,1.38761E+12,7.84645E+11,1.05569E+12,1.9407E+12,2.97935E+12
Verge Vendor,8.19926E+13,88112165607,8.41047E+13,87126030016,2.32015E+11,0,2.11207E+12,98911688334,2.11883E+11,5.50288E+11,4.24835E+12
Providence,6.18615E+13,61381193874,5.63822E+13,61268496761,4.808E+11,5.47932E+12,0,2.08927E+12,1.79048E+12,3.67861E+12,4.42552E+12
The Citadel,7.63828E+14,9.4023E+11,7.33592E+14,9.37421E+11,5.59075E+11,3.02357E+13,0,7.0745E+11,1.23629E+12,1.01218E+13,4.44152E+12
Essence,3.30777E+14,4.26503E+11,3.44984E+14,4.42387E+11,3.88185E+11,0,1.42066E+13,1.0697E+11,4.68874E+11,2.00683E+12,6.77849E+12
Metropolis,3.33358E+14,3.202E+11,3.30391E+14,3.19431E+11,7.60836E+11,2.96715E+12,0,6.57407E+11,1.05364E+12,1.96962E+12,1.0952E+13
Heimatar,1.70545E+14,2.29208E+11,1.57576E+14,2.18219E+11,3.84697E+11,1.29685E+13,0,1.53E+11,8.35422E+11,1.32384E+12,1.16509E+13
Lonetrek,4.31933E+14,4.83851E+11,4.10712E+14,4.77038E+11,1.06986E+12,2.12208E+13,0,7.34385E+11,1.05984E+12,1.22867E+13,1.2668E+13
Sinq Laison,4.55346E+14,5.15924E+11,4.40762E+14,5.06329E+11,7.07277E+11,1.45849E+13,0,2.5341E+11,1.28161E+12,4.93567E+12,2.39887E+13
Delve,1.64261E+14,2.27083E+11,2.09548E+14,2.24564E+11,8.45882E+12,0,4.5287E+13,8.0739E+12,1.27032E+12,1.88148E+13,2.47958E+13
Domain,5.35581E+14,6.58894E+11,5.13568E+14,6.55985E+11,8.23754E+11,2.20139E+13,0,2.91433E+11,1.27699E+12,6.72946E+12,7.07664E+13
The Forge,7.55283E+14,8.78555E+11,7.9851E+14,8.77508E+11,1.2522E+12,0,4.32272E+13,5.1543E+11,2.51813E+12,2.37304E+13,5.9965E+14
