regionName,exports,exportsm3,imports,importsm3,mining.value,net.exports,net.imports,npc.bounties,total.destroyed,total.production,trade.value
Aridia,1.15804E+12,1081595473,2.15157E+12,1506881535,1.85109E+11,0,9.9353E+11,48831489250,3.75945E+11,4.86736E+11,1.08939E+12
Cobalt Edge,3.92094E+11,472216630,5.94989E+11,342364521.3,1.73538E+12,0,2.02895E+11,2.72604E+12,5.00817E+11,3.44046E+12,1.29244E+12
Kador,7.61031E+12,5377083233,6.91106E+12,5200155340,5.17946E+11,6.99253E+11,0,1.25966E+11,2.14434E+11,1.31117E+12,1.38282E+12
Derelik,4.0849E+12,5113690428,3.98373E+12,4587280632,3.60725E+11,1.01168E+11,0,59235723141,4.29872E+11,7.16495E+11,1.45485E+12
Branch,6.21065E+11,721979317.7,9.23275E+11,425500088.8,6.91958E+11,0,3.0221E+11,3.69687E+12,5.42915E+11,1.84519E+12,1.58582E+12
Kor-Azor,7.61755E+12,6254458725,7.73287E+12,6309048904,2.66802E+11,0,1.15319E+11,69853732526,2.16255E+11,6.79102E+11,2.02934E+12
Placid,2.48404E+12,2288014678,3.37235E+12,2525363207,2.28086E+11,0,8.8831E+11,61382697149,8.095E+11,7.46795E+11,2.07393E+12
Providence,2.01246E+13,8392779031,4.44982E+12,6995745272,2.65399E+11,1.56748E+13,0,6.01902E+11,1.40916E+12,1.53672E+12,2.10521E+12
Deklein,3.83937E+12,2601534880,4.20974E+12,2347010535,2.27677E+12,0,3.70366E+11,3.60056E+12,6.08788E+11,6.28782E+12,2.13318E+12
Catch,3.85749E+12,3985117453,6.8603E+12,3972343219,6.50724E+11,0,3.00281E+12,1.03193E+12,1.31871E+12,2.09454E+12,2.38531E+12
Genesis,1.12831E+13,6827559712,1.04876E+13,6888958864,6.83763E+11,7.95477E+11,0,2.35542E+11,5.79E+11,8.23638E+11,2.63771E+12
Everyshore,2.39268E+12,4013493395,2.26133E+12,3981674150,1.01734E+12,1.31347E+11,0,95399706071,2.90574E+11,8.2204E+11,2.66566E+12
Verge Vendor,3.0729E+12,2101114331,2.74132E+12,2094574844,2.22218E+11,3.31583E+11,0,72898302199,2.81055E+11,4.58373E+11,3.4149E+12
Tash-Murkon,3.57759E+12,4281142521,3.31626E+12,4259808700,6.1233E+11,2.61335E+11,0,1.54808E+11,4.06065E+11,2.18385E+12,4.05269E+12
The Citadel,3.13328E+13,30424216733,3.05412E+13,30338062556,4.95692E+11,7.91599E+11,0,5.92828E+11,2.37602E+12,1.16574E+13,4.92313E+12
Esoteria,4.96376E+12,2445023827,2.24182E+12,1784889814,2.53362E+12,2.72194E+12,0,3.04729E+12,6.75989E+11,7.66338E+12,5.13701E+12
Essence,9.32464E+12,11625496057,9.2874E+12,11729112897,6.5408E+11,37233559964,0,95141198739,5.98161E+11,1.68425E+12,6.14102E+12
Fade,6.31744E+12,6145363713,7.45681E+12,5301970661,3.27649E+11,0,1.13938E+12,1.26563E+12,7.2779E+11,1.45498E+12,6.90855E+12
Heimatar,4.28527E+12,7291844941,4.25484E+12,8013056222,4.24776E+11,30428850060,0,1.30957E+11,9.83124E+11,2.45598E+12,1.18025E+13
Metropolis,8.81736E+12,10843447075,1.09711E+13,11010614046,1.09843E+12,0,2.15372E+12,6.19126E+11,1.29275E+12,2.21152E+12,1.23368E+13
Lonetrek,2.02024E+13,20874421434,2.01789E+13,19852969310,8.21138E+11,23495803522,0,6.77968E+11,1.53999E+12,1.3664E+13,1.33675E+13
Sinq Laison,1.38966E+13,16681954325,1.42287E+13,16725720812,9.75063E+11,0,3.32104E+11,2.60485E+11,1.66372E+12,4.667E+12,2.65629E+13
Delve,6.20247E+12,10625696542,8.19497E+12,9383451349,1.35132E+13,0,1.9925E+12,1.05664E+13,1.57321E+12,2.90189E+13,4.21102E+13
Domain,2.65946E+13,23922170756,2.82762E+13,24882596749,1.15617E+12,0,1.6816E+12,2.66038E+11,1.49845E+12,5.90319E+12,7.23937E+13
The Forge,2.95687E+13,30256310819,3.17001E+13,30679469118,1.1189E+12,0,2.13136E+12,4.76202E+11,3.03555E+12,3.01821E+13,6.61126E+14
