regionName,exports,exportsm3,imports,importsm3,mining.value,net.exports,net.imports,npc.bounties,total.destroyed,total.production,trade.value
Tash-Murkon,1.3658E+14,1.55752E+11,1.31784E+14,1.52287E+11,6.20946E+11,4.79653E+12,0,1.86569E+11,3.67478E+11,1.97703E+12,3.68665E+12
Verge Vendor,9.23446E+13,94347914771,8.98678E+13,94272727647,2.25438E+11,2.47675E+12,0,94499997735,2.38044E+11,4.84449E+11,3.84307E+12
Esoteria,3.70862E+13,35274610510,4.98463E+13,26380842302,2.59419E+12,0,1.27601E+13,3.71548E+12,5.00466E+11,6.39728E+12,4.78188E+12
Deklein,9.41222E+13,1.65538E+11,9.80989E+13,1.09616E+11,1.7588E+12,0,3.97667E+12,3.47482E+12,6.82143E+11,5.82182E+12,4.96117E+12
The Citadel,8.62033E+14,9.45722E+11,8.37028E+14,9.46617E+11,5.02388E+11,2.50052E+13,0,6.33362E+11,2.05091E+12,1.09985E+13,5.00754E+12
Fade,8.61404E+13,1.57865E+11,1.09922E+14,2.00467E+11,4.59622E+11,0,2.37815E+13,1.31963E+12,8.42372E+11,2.29432E+12,5.85689E+12
Essence,3.37464E+14,4.07541E+11,3.38174E+14,4.0908E+11,6.50007E+11,0,7.1023E+11,1.18256E+11,4.76547E+11,1.85293E+12,6.90536E+12
Metropolis,3.54495E+14,3.10809E+11,3.43035E+14,3.1092E+11,1.09228E+12,1.14595E+13,0,7.23782E+11,9.44588E+11,2.23016E+12,1.2837E+13
Lonetrek,5.85928E+14,5.3967E+11,5.59765E+14,5.35278E+11,8.67421E+11,2.61635E+13,0,7.77736E+11,1.69495E+12,1.46362E+13,1.39002E+13
Heimatar,2.1659E+14,2.32949E+11,2.0979E+14,2.3654E+11,4.75527E+11,6.80059E+12,0,1.5615E+11,9.68804E+11,2.20887E+12,1.39599E+13
Sinq Laison,5.3994E+14,5.1809E+11,5.16011E+14,5.13079E+11,9.44609E+11,2.39282E+13,0,3.13409E+11,1.87546E+12,5.23495E+12,2.60641E+13
Delve,2.34247E+14,3.74455E+11,2.75667E+14,3.60652E+11,8.12349E+12,0,4.14198E+13,9.02657E+12,2.5372E+12,2.67108E+13,3.98405E+13
Domain,6.50425E+14,6.74753E+11,6.64932E+14,6.95125E+11,1.09354E+12,0,1.45071E+13,3.15833E+11,1.54118E+12,5.4775E+12,6.95265E+13
The Forge,9.07226E+14,8.66765E+11,9.16312E+14,8.61497E+11,1.18931E+12,0,9.08597E+12,5.82394E+11,2.54793E+12,2.86006E+13,6.82867E+14
