regionName,exports,exportsm3,imports,importsm3,mining.value,net.exports,net.imports,npc.bounties,total.destroyed,total.production,trade.value
Scalding Pass,4.64276E+12,654678350.1,4.6912E+12,761278195.8,3.67266E+11,0,48443900837,6.97889E+11,3.31371E+11,3.57367E+11,10751944327
Tenal,4.31693E+11,428832031.2,6.557E+11,506127128.9,2.77842E+11,0,2.24007E+11,2.30324E+12,1.69087E+11,1.77482E+11,16500678681
Outer Passage,4.5952E+11,435016932.7,4.37565E+11,389692708.2,3.425E+11,21954628221,0,1.43817E+12,2.06979E+11,3.99966E+11,22689036940
The Kalevala Expanse,1.17388E+12,748437335.3,1.14422E+12,720356228.6,4.65028E+11,29658432652,0,7.92225E+11,1.39469E+11,2.16426E+12,32856326313
Oasa,8.2293E+11,208914745.2,9.17093E+11,229308187.5,7.81406E+11,0,94162752475,1.31523E+12,1.51667E+11,1.29928E+12,39572152647
Paragon Soul,7.85095E+11,1187242211,8.61409E+11,1131121375,2.95289E+11,0,76313618674,5.61971E+11,1.86434E+11,4.63143E+11,42377241696
Etherium Reach,3.11205E+12,2014775864,3.08488E+12,1949627978,3.05821E+11,27163323975,0,3.36944E+11,4.12185E+11,1.9376E+11,44697470885
Period Basis,6.35024E+11,773696921.2,6.02794E+11,661069616.9,82146327675,32230258387,0,2.624E+12,1.5502E+11,3.27526E+11,53674724013
Vale of the Silent,1.26118E+12,2111040930,9.21212E+11,1517505851,6.49448E+11,3.39966E+11,0,2.55666E+12,3.90949E+11,4.28604E+12,84767240933
Feythabolis,4.10318E+11,406641094.4,4.86614E+11,365650717.1,4.67972E+11,0,76295898169,9.99376E+11,2.50418E+11,7.16504E+11,91067759503
The Spire,7.64823E+11,1194958419,8.85751E+11,1411126142,3.34914E+11,0,1.20928E+11,1.19072E+12,1.14141E+11,4.42345E+11,91855172756
Perrigen Falls,1.20484E+12,711105963.9,1.06565E+12,548588116.5,3.91282E+11,1.39184E+11,0,1.26534E+12,2.61282E+11,5.33058E+11,92428774569
The Bleak Lands,1.89217E+12,1572632131,1.58834E+12,1631001404,1.3749E+11,3.03823E+11,0,11988309445,1.0075E+12,1.93717E+11,1.30733E+11
Great Wildlands,5.92178E+12,1630919254,6.11147E+12,1673850820,2.41274E+11,0,1.89692E+11,34466465837,5.23435E+11,2.17422E+11,1.35859E+11
Venal,2.17519E+12,1076127978,2.26834E+12,1005353541,1.91507E+11,0,93142582341,2.18776E+11,5.25319E+11,1.41531E+11,1.44821E+11
Querious,4.15649E+12,3998660969,3.17862E+12,3237610225,1.90962E+12,9.77865E+11,0,2.52238E+12,5.06664E+11,1.87616E+12,1.80097E+11
Stain,3.93756E+11,513460326.3,3.81106E+11,459914983.7,3.13306E+11,12650203315,0,1.22839E+11,3.08933E+11,3.43976E+11,2.13681E+11
Cache,5.24888E+11,1265553359,7.57933E+11,1645882462,1.69825E+11,0,2.33046E+11,3.73658E+11,5.66054E+11,5.71647E+11,2.33344E+11
Insmother,2.2529E+12,3518096131,3.48807E+12,3374888560,1.15044E+12,0,1.23517E+12,1.68694E+12,1.63268E+11,1.71544E+12,2.60581E+11
Tribute,2.45749E+12,4224985337,4.06038E+12,10431134107,5.02771E+11,0,1.60289E+12,8.11248E+11,3.20791E+11,1.05229E+13,2.67322E+11
Omist,2.67755E+11,488116276.3,2.23957E+11,294712556.1,1.73203E+11,43797978849,0,6.31574E+11,1.47959E+11,6.45003E+11,2.7638E+11
Wicked Creek,3.41592E+12,3054193696,5.92931E+12,2742545748,2.11657E+11,0,2.51339E+12,1.10257E+12,2.12818E+11,2.18831E+12,2.90109E+11
Solitude,5.13371E+11,519203438.1,5.30051E+11,459880027.8,3.45235E+11,0,16679899112,22677940554,86032191555,2.29585E+11,3.9496E+11
Syndicate,9.49112E+11,947034738.4,8.07479E+11,998740365.5,2.80152E+11,1.41633E+11,0,68106152352,4.68105E+11,6.13201E+11,4.395E+11
Providence,1.20018E+12,1387926151,2.85089E+12,1741170575,2.97013E+11,0,1.6507E+12,6.68555E+11,5.61449E+11,1.23978E+12,5.12263E+11
Curse,3.27179E+12,2134371531,2.76615E+12,1960415917,67256916449,5.05643E+11,0,87155213529,4.29931E+11,2.35768E+11,5.25151E+11
Outer Ring,4.45624E+11,715297009.6,5.20829E+11,875592643.2,2.06378E+11,0,75205664440,23430707325,71433582958,30897770740,5.2544E+11
Khanid,4.46771E+12,3938570702,5.63194E+12,3937975002,3.48613E+11,0,1.16423E+12,40065731725,1.8999E+11,2.14369E+11,5.29808E+11
