regionName,exports,exportsm3,imports,importsm3,mining.value,net.exports,net.imports,npc.bounties,total.destroyed,total.production,trade.value
Everyshore,1.57402E+12,4334027485,1.75331E+12,4034316813,1.29607E+12,0,1.79286E+11,1.07287E+11,2.22579E+11,7.90811E+11,2.04507E+12
Verge Vendor,1.94481E+12,2119522568,2.03787E+12,2173048588,3.57406E+11,0,93058081812,99900552062,2.58769E+11,5.38994E+11,2.47828E+12
Tash-Murkon,2.51119E+12,3033733977,2.37929E+12,3053513322,9.0265E+11,1.31898E+11,0,1.34174E+11,4.24093E+11,1.9746E+12,2.92708E+12
The Citadel,3.55908E+13,25362236571,3.55181E+13,25336624923,8.80445E+11,72711856070,0,7.97646E+11,1.91952E+12,9.99813E+12,3.64731E+12
Essence,7.7266E+12,10500122835,6.74226E+12,10361429305,7.99269E+11,9.84338E+11,0,1.15413E+11,4.63498E+11,1.03358E+12,4.34574E+12
Geminate,1.41071E+12,2299362470,1.2937E+12,1478298158,4.24611E+11,1.17011E+11,0,1.47048E+12,1.90678E+12,3.25254E+12,6.70326E+12
Esoteria,1.78363E+12,1717406662,5.28175E+12,2861959320,3.94364E+12,0,3.49812E+12,4.72081E+12,6.09661E+11,9.76721E+12,7.79995E+12
Heimatar,7.41887E+12,5897056323,7.53163E+12,5818658574,6.95375E+11,0,1.12757E+11,1.36771E+11,6.32944E+11,1.73183E+12,9.49548E+12
Metropolis,1.50352E+13,7658288662,1.39674E+13,7792306105,1.55176E+12,1.06774E+12,0,5.74637E+11,1.34067E+12,1.97725E+12,9.88554E+12
Lonetrek,1.12319E+13,13681879914,1.20225E+13,13391880337,1.3182E+12,0,7.90646E+11,6.84274E+11,2.14378E+12,1.16514E+13,1.17209E+13
Sinq Laison,2.37383E+13,14502805475,1.36929E+13,14201391611,1.45351E+12,1.00453E+13,0,3.23401E+11,1.14745E+12,4.95815E+12,2.0508E+13
Delve,6.65011E+12,15423227898,9.26138E+12,14172780531,1.90729E+13,0,2.61126E+12,1.31475E+13,1.83231E+12,4.59212E+13,5.20985E+13
Domain,2.94261E+13,16552390892,2.10076E+13,16573226244,1.90101E+12,8.41849E+12,0,3.0653E+11,1.32703E+12,6.1211E+12,5.6591E+13
The Forge,2.63778E+13,22926423836,3.20197E+13,23403836245,2.00426E+12,0,5.64188E+12,5.80524E+11,3.24129E+12,2.99669E+13,6.34805E+14
