regionName,exports,exportsm3,imports,importsm3,mining.value,net.exports,net.imports,npc.bounties,total.destroyed,total.production,trade.value
Deklein,4.17658E+13,50630184124,6.77004E+13,52937515010,1.49306E+12,0,2.59346E+13,3.71209E+12,5.14459E+11,4.76176E+12,2.22089E+12
Esoteria,3.55455E+13,42889399308,3.98579E+13,47051468460,1.08078E+12,0,4.31238E+12,2.36258E+12,5.89903E+11,3.78953E+12,2.68051E+12
Tash-Murkon,1.23404E+14,1.54979E+11,1.14448E+14,1.5212E+11,6.18106E+11,8.95596E+12,0,1.25885E+11,1.85658E+11,2.00205E+12,2.86698E+12
Pure Blind,1.02596E+14,1.33334E+11,1.06157E+14,1.30989E+11,55759816318,0,3.56162E+12,6.50732E+11,8.98346E+11,2.2172E+12,2.92791E+12
Verge Vendor,9.25327E+13,1.20171E+11,8.71051E+13,1.12256E+11,2.49489E+11,5.42764E+12,0,1.03427E+11,2.27429E+11,5.91532E+11,3.64946E+12
The Citadel,8.61647E+14,1.03364E+12,8.45869E+14,1.03401E+12,7.08221E+11,1.57781E+13,0,6.98917E+11,1.77389E+12,1.00481E+13,4.33018E+12
Providence,6.70508E+13,65012008980,5.78152E+13,63387402447,7.03963E+11,9.23557E+12,0,2.67681E+12,1.38317E+12,4.40123E+12,4.51222E+12
Essence,3.58736E+14,4.58848E+11,3.53136E+14,4.57082E+11,4.52275E+11,5.60078E+12,0,1.1148E+11,4.09948E+11,1.82398E+12,6.88545E+12
Metropolis,3.56908E+14,3.7543E+11,3.49685E+14,3.77101E+11,9.30451E+11,7.22338E+12,0,7.28804E+11,1.37382E+12,2.52552E+12,1.19155E+13
Lonetrek,4.77849E+14,5.62719E+11,4.445E+14,5.56748E+11,1.27065E+12,3.3349E+13,0,8.41495E+11,1.34844E+12,1.3078E+13,1.236E+13
Heimatar,1.96074E+14,2.61124E+11,1.95728E+14,2.57003E+11,4.68354E+11,3.46069E+11,0,1.60154E+11,9.68111E+11,1.13339E+12,1.3215E+13
Delve,1.25309E+14,1.52194E+11,1.59878E+14,1.51209E+11,6.69441E+12,0,3.45683E+13,7.33494E+12,1.72164E+12,1.56141E+13,1.86684E+13
Sinq Laison,5.10558E+14,5.91273E+11,4.79406E+14,5.93236E+11,9.03647E+11,3.11524E+13,0,3.04948E+11,1.03401E+12,5.01959E+12,2.3292E+13
Domain,6.40924E+14,7.38967E+11,5.84285E+14,7.37336E+11,9.97725E+11,5.66391E+13,0,3.19983E+11,1.41186E+12,7.06037E+12,7.02526E+13
The Forge,7.85501E+14,9.92824E+11,8.58274E+14,9.9879E+11,1.49726E+12,0,7.27734E+13,6.22245E+11,2.39171E+12,2.59841E+13,5.6976E+14
