regionName,exports,exportsm3,imports,importsm3,mining.value,net.exports,net.imports,npc.bounties,total.destroyed,total.production,trade.value
D-R00016,1.30425E+13,9046000829,1.09224E+13,8375568730,42536437747,2.1201E+12,0,4196538319,1.17952E+11,73987196963,2672132037
Cloud Ring,2.61642E+13,28739918431,2.42667E+13,28970116963,22562275187,1.89747E+12,0,1.8653E+11,3.14686E+11,45077600227,24791397759
Scalding Pass,3.33787E+13,43456849302,3.82425E+13,45827615961,1.45188E+11,0,4.86375E+12,3.60543E+11,3.41922E+11,3.46651E+11,32606258833
Venal,8.15852E+13,63218803142,7.77486E+13,60062256651,6090356395,3.83659E+12,0,2.13996E+11,1.99567E+11,56758233720,51814669530
Tenal,2.33404E+13,17814456728,3.24069E+13,29448902261,1.14496E+12,0,9.06652E+12,1.82355E+12,1.38682E+11,1.55619E+11,52853107884
Cache,1.43115E+13,10507837239,1.48613E+13,10798531227,1.0694E+11,0,5.49883E+11,5.59089E+11,1.25569E+11,2.5718E+11,60107971204
Great Wildlands,6.97486E+13,61303190808,7.09581E+13,60181885016,47056827490,0,1.20947E+12,32923399858,3.50368E+11,1.56216E+11,64134060565
Vale of the Silent,6.2642E+13,43956262591,5.77964E+13,38830485487,3.79447E+11,4.84558E+12,0,1.70914E+12,3.13748E+11,3.62118E+12,85110165592
The Spire,2.2357E+13,18864927868,2.32291E+13,18078810116,3.36059E+11,0,8.72132E+11,1.30001E+12,3.06574E+11,3.34077E+11,87503994087
Paragon Soul,1.03851E+13,13092413596,1.15656E+13,11820401220,1.08E+11,0,1.18055E+12,4.71025E+11,1.65442E+11,3.75032E+11,88818184977
Tribute,1.02459E+14,1.25302E+11,7.16475E+13,54075483009,1.4954E+11,3.08118E+13,0,4.30329E+11,2.1806E+11,2.73841E+12,1.00681E+11
Wicked Creek,3.12756E+13,49513050764,3.66196E+13,57122048247,74874500932,0,5.34397E+12,1.06797E+12,9.00007E+11,2.72116E+11,1.0262E+11
Etherium Reach,8.33493E+13,56354864079,8.22708E+13,61182075743,1.78627E+11,1.0785E+12,0,6.56432E+11,5.30316E+11,3.77702E+11,1.47392E+11
Omist,5.54687E+12,6273192826,1.31069E+13,5057899774,3.68128E+11,0,7.56008E+12,1.18878E+12,1.44807E+11,8.76861E+11,1.56709E+11
Feythabolis,2.36045E+13,29925477506,2.73128E+13,27794078497,2.70909E+11,0,3.70832E+12,1.755E+12,4.78266E+11,3.75041E+11,2.28396E+11
The Kalevala Expanse,7.01589E+13,45475724338,6.88485E+13,45747092861,1.0394E+12,1.31038E+12,0,1.45023E+12,3.05044E+11,1.27795E+12,2.30286E+11
Oasa,5.17414E+13,38071232881,4.52824E+13,36632207788,3.30913E+11,6.45903E+12,0,1.43596E+12,3.25156E+11,7.30138E+11,2.47812E+11
The Bleak Lands,8.7184E+13,65642785297,8.7232E+13,66117197357,75139001234,0,48082763352,11158430744,7.56622E+11,1.07292E+12,2.66175E+11
Tenerifis,7.03236E+13,90212295775,7.74419E+13,91125443775,6.08806E+11,0,7.11837E+12,1.44077E+12,4.27681E+11,1.1373E+12,2.86174E+11
Fountain,6.47863E+13,62524740631,3.23484E+13,47659539610,2.26118E+11,3.24379E+13,0,1.02281E+12,5.24671E+11,1.10328E+12,2.91743E+11
Outer Passage,1.51893E+13,12190083095,1.53641E+13,11332931032,5.91592E+11,0,1.74756E+11,2.16773E+12,3.08053E+11,9.35492E+11,3.02711E+11
Period Basis,1.03385E+13,10374330743,1.36296E+13,9322405170,3.22596E+11,0,3.29115E+12,2.89295E+12,2.58926E+11,9.7667E+11,3.1843E+11
Detorid,4.24248E+13,64438070167,3.64402E+13,73127696693,2.04221E+11,5.98461E+12,0,6.49104E+11,1.12171E+12,6.83556E+11,3.42529E+11
Perrigen Falls,4.70707E+13,35651279688,4.20736E+13,35485468313,4.60838E+11,4.99709E+12,0,1.85938E+12,3.23371E+11,1.00676E+12,3.78434E+11
Querious,1.57249E+14,1.61807E+11,1.60346E+14,1.66719E+11,2.28474E+12,0,3.09695E+12,2.06658E+12,5.34208E+11,1.32813E+12,4.42602E+11
Outer Ring,1.0457E+13,16858039528,1.00569E+13,19656841848,19749526357,4.00139E+11,0,31710312618,1.09821E+11,4.00027E+11,4.48841E+11
Insmother,6.41659E+13,61397610077,3.83475E+13,47746338119,1.40921E+11,2.58185E+13,0,7.32713E+11,4.28124E+11,1.60534E+12,4.52805E+11
Syndicate,6.86488E+13,1.32706E+11,7.24806E+13,1.34118E+11,53002174445,0,3.8318E+12,69461993365,7.97528E+11,7.16503E+11,4.64169E+11
