regionName,exports,exportsm3,imports,importsm3,mining.value,net.exports,net.imports,npc.bounties,total.destroyed,total.production,trade.value
Scalding Pass,2.44534E+12,2476475642,1.61597E+12,1755726834,2.99561E+11,8.29365E+11,0,5.78309E+11,1.78966E+11,2.22844E+11,13659067931
Cloud Ring,8.23456E+11,1271174875,8.34296E+11,1434295868,1.38783E+11,0,10839618348,1.03604E+11,2.14818E+11,1.88495E+11,15485258712
Etherium Reach,2.38809E+12,981611783.9,2.42405E+12,946299239.5,2.35064E+11,0,35956469305,1.7287E+11,4.63992E+11,1.09784E+11,22155867137
Outer Passage,2.82779E+11,79055335.48,4.95537E+11,154791707.3,2.65361E+11,0,2.12758E+11,1.19989E+12,2.35468E+11,2.83558E+11,25024204898
Tenal,1.84971E+12,5900966186,2.42258E+12,8917208093,3.95831E+11,0,5.72874E+11,1.82202E+12,2.79216E+11,1.28563E+11,25538489936
Oasa,2.45349E+12,1504177511,1.969E+12,830038674,5.22119E+11,4.84481E+11,0,1.35337E+12,2.30889E+11,1.08206E+12,50103240680
The Kalevala Expanse,6.30995E+11,400848552.6,8.73745E+11,441403385.4,2.20087E+11,0,2.4275E+11,6.92925E+11,1.39165E+11,2.46598E+12,54578518706
Period Basis,4.1328E+11,232975498.7,1.85637E+11,209064555.6,60448138039,2.27643E+11,0,2.16245E+12,2.08207E+11,2.87805E+11,54672078647
Paragon Soul,4.05524E+11,479083719.9,3.78429E+11,294182535.9,2.13313E+11,27095206783,0,4.22915E+11,3.18438E+11,5.15458E+11,56307443694
Vale of the Silent,1.46347E+12,2259952616,1.45004E+12,2380204052,7.30598E+11,13433898426,0,2.37497E+12,4.35718E+11,3.5471E+12,74412207992
Perrigen Falls,1.96956E+12,1856604910,1.98519E+12,1800550406,4.57567E+11,0,15636419737,1.36872E+12,2.5241E+11,5.72441E+11,77839524871
Great Wildlands,2.28801E+12,2491873595,2.35012E+12,2587267822,1.89373E+11,0,62111074354,31289737950,4.81682E+11,2.29919E+11,80062806066
