regionName,exports,exportsm3,imports,importsm3,mining.value,net.exports,net.imports,npc.bounties,total.destroyed,total.production,trade.value
Genesis,2.2743E+14,2.25835E+11,2.23883E+14,2.26629E+11,3.43493E+11,3.54775E+12,0,2.29736E+11,3.07796E+11,8.47022E+11,1.72726E+12
Branch,1.8325E+13,22144888393,2.16789E+13,22661220679,5.55131E+11,0,3.35385E+12,3.06011E+12,5.17538E+11,2.87979E+12,1.76794E+12
Placid,8.75767E+13,1.33266E+11,9.04635E+13,1.41491E+11,68993186092,0,2.88682E+12,62417312735,7.96934E+11,8.00143E+11,1.9984E+12
Impass,2.83587E+13,24953044960,3.45881E+13,25296063388,2.46045E+12,0,6.22944E+12,1.64719E+12,2.92882E+11,5.70297E+12,2.02388E+12
Esoteria,2.70616E+13,31743928418,3.38147E+13,27798577482,1.00686E+12,0,6.75311E+12,2.49915E+12,4.06197E+11,4.09159E+12,2.39272E+12
Everyshore,6.97218E+13,1.184E+11,6.51104E+13,1.1824E+11,7.85671E+11,4.61137E+12,0,83993696249,1.06672E+11,7.25079E+11,2.52997E+12
Deklein,4.04502E+13,65592019091,5.44017E+13,55674214317,1.85354E+12,0,1.39515E+13,2.61701E+12,5.79186E+11,5.07884E+12,2.53036E+12
Pure Blind,6.10788E+13,64255606575,5.79558E+13,63181954000,28283494554,3.12304E+12,0,7.77873E+11,9.1958E+11,1.92319E+12,2.53607E+12
Tash-Murkon,9.85454E+13,1.39502E+11,1.02869E+14,1.38268E+11,5.248E+11,0,4.32396E+12,1.33876E+11,2.13254E+11,1.56228E+12,2.82695E+12
The Citadel,7.3188E+14,8.82297E+11,7.03296E+14,8.80915E+11,5.57199E+11,2.85848E+13,0,5.205E+11,1.16579E+12,9.2053E+12,4.16644E+12
Verge Vendor,7.50151E+13,84555519117,7.00419E+13,83825030536,2.29562E+11,4.97315E+12,0,86490960569,1.77493E+11,5.76553E+11,4.21892E+12
Providence,6.78258E+13,61893148496,6.06803E+13,61315927680,4.44193E+11,7.14544E+12,0,1.74469E+12,2.0182E+12,4.2121E+12,4.28547E+12
Essence,3.04569E+14,3.88277E+11,3.01169E+14,3.90515E+11,3.83083E+11,3.40021E+12,0,1.01215E+11,3.6369E+11,2.16714E+12,6.83903E+12
Metropolis,3.29987E+14,3.16412E+11,3.3129E+14,3.15739E+11,7.69672E+11,0,1.30338E+12,6.05391E+11,1.05326E+12,2.43327E+12,1.0152E+13
Heimatar,1.6356E+14,2.04991E+11,1.60581E+14,2.08405E+11,3.97013E+11,2.97893E+12,0,1.46028E+11,5.63862E+11,1.28231E+12,1.0165E+13
Lonetrek,4.33719E+14,4.83138E+11,3.90982E+14,4.76399E+11,9.93449E+11,4.27366E+13,0,6.69084E+11,1.0138E+12,1.24227E+13,1.1148E+13
Sinq Laison,4.52278E+14,4.92822E+11,4.38433E+14,4.88265E+11,7.05275E+11,1.38442E+13,0,2.36318E+11,1.02265E+12,5.07615E+12,2.37347E+13
Delve,1.21025E+14,1.85987E+11,1.61723E+14,1.81574E+11,1.0263E+13,0,4.06983E+13,8.41456E+12,1.4405E+12,2.54916E+13,2.81618E+13
Domain,5.05026E+14,6.27931E+11,4.89339E+14,6.31389E+11,9.20053E+11,1.56864E+13,0,2.82101E+11,1.10489E+12,6.0585E+12,6.74398E+13
The Forge,7.36522E+14,8.40864E+11,8.08338E+14,8.40919E+11,1.19412E+12,0,7.18153E+13,4.85997E+11,2.13966E+12,2.41263E+13,5.93158E+14
