regionName,exports,exportsm3,imports,importsm3,mining.value,net.exports,net.imports,npc.bounties,total.destroyed,total.production,trade.value
C-R00011,1.33939E+13,7249119029,1.173E+13,7330781866,37683917459,1.66385E+12,0,5020000,1.20063E+11,78579813328,9284400
C-R00012,2.69191E+13,15658843318,2.61401E+13,15822980683,50043987475,7.78974E+11,0,6440000,1.96851E+11,2.46999E+11,946053163.1
A-R00001,8.47212E+12,3279775932,8.33649E+12,3239764343,33696784036,1.35626E+11,0,6900000,56975528491,43540940211,1860784903
D-R00016,1.43693E+13,10014981633,1.25389E+13,9639502135,66628517932,1.83031E+12,0,1499413169,2.59216E+11,99958839059,1903374545
B-R00005,2.76522E+13,13831962520,2.95493E+13,14010856938,22129709485,0,1.89707E+12,5320000,1.92114E+11,2.2964E+11,2174921581
A-R00003,5.70442E+12,2290470827,5.99452E+12,2366940142,11889136508,0,2.90098E+11,3260000,22352832205,2.19823E+11,2215073087
B-R00004,2.83255E+13,19417874533,2.77876E+13,19700314836,42413299490,5.37851E+11,0,7540000,2.26589E+11,5.15395E+11,2331715694
B-R00008,2.49634E+13,11814201192,2.53011E+13,12116555731,33352324617,0,3.3764E+11,7160000,1.26652E+11,70346058564,2908936765
F-R00030,1.82793E+13,43385106434,1.63596E+13,43295923283,1.40366E+11,1.91964E+12,0,5520000,1.85895E+11,1.0867E+11,6367567745
E-R00024,2.90803E+13,41202548846,2.89318E+13,41949347705,1.42819E+11,1.48512E+11,0,6640000,2.53513E+11,1.3138E+11,8361214524
G-R00031,1.02599E+13,3159292355,1.04489E+13,3237521813,4254548335,0,1.88966E+11,80000,30975751469,1654113396,12881355171
D-R00019,9.67291E+12,8111190364,1.04724E+13,8216380911,47145142792,0,7.99494E+11,5300000,90535505185,1.34479E+11,15674611134
D-R00022,1.46774E+13,11996467788,1.60169E+13,12382020906,40424626388,0,1.33954E+12,5060000,1.38834E+11,1.99522E+11,17120984765
E-R00025,1.85878E+13,41622579367,1.88855E+13,42190538821,1.42223E+11,0,2.97753E+11,5500000,1.85145E+11,1.8453E+11,25115100948
Scalding Pass,4.1992E+13,51665070849,4.42724E+13,50246154377,1.0722E+11,0,2.28038E+12,3.86403E+11,1.53751E+11,3.1412E+11,32815514903
D-R00021,1.7616E+13,13599766150,1.82615E+13,14069475215,56359018313,0,6.45508E+11,7080000,1.56755E+11,3.62011E+11,32886769809
Tenal,3.393E+13,35725732302,3.67472E+13,28758343217,3.74138E+11,0,2.81722E+12,1.34821E+12,97851158452,86110466256,33959023315
E-R00028,2.16476E+13,49575566816,2.30003E+13,50481630796,1.13603E+11,0,1.3527E+12,5880000,2.15137E+11,7.21414E+11,38561508872
Cloud Ring,2.05186E+13,20432792501,2.13485E+13,21027656351,58622426562,0,8.29896E+11,1.70368E+11,4.71634E+11,67965754166,40168161402
E-R00027,1.57883E+13,21800714355,1.49458E+13,22051334701,90178290706,8.42505E+11,0,4540000,1.95779E+11,1.01108E+11,47852489961
Great Wildlands,8.77894E+13,77667748871,8.93608E+13,78083876330,26566960976,0,1.57139E+12,29543930747,2.40654E+11,2.03529E+11,61470765706
Vale of the Silent,7.96632E+13,73365229911,6.05375E+13,59774596489,2.64637E+11,1.91257E+13,0,1.57084E+12,4.74935E+11,3.24428E+12,62967674197
Cache,2.98821E+13,26318547169,3.06735E+13,26229090112,78869988239,0,7.91394E+11,6.65002E+11,1.16974E+11,2.70426E+11,68382380272
Wicked Creek,3.3344E+13,34987830600,2.72676E+13,36919873072,95957387192,6.07641E+12,0,1.07754E+12,3.48536E+11,1.65998E+11,75495764965
The Spire,2.95874E+13,23733853873,3.33647E+13,22796166513,3.19375E+11,0,3.77724E+12,1.05749E+12,1.75626E+11,3.84581E+11,81486697012
B-R00007,2.28622E+13,19221314309,2.55117E+13,19670285803,23743788067,0,2.64942E+12,2960000,1.3648E+11,2.57332E+11,94702575924
Paragon Soul,4.92993E+12,5649268612,1.46742E+13,6833807052,2.55962E+11,0,9.74431E+12,3.41952E+11,1.83819E+11,5.12943E+11,95164459073
