April 2018,1.44982E+11,1.72087E+11,9.80059E+11,1.90033E+11,6.29003E+11,85125499900,5.93485E+11,31931457791,4.55393E+11,1.45694E+13,5.47225E+11,7.83056E+11,4.08342E+11,1.66234E+12,3.3706E+12,7.44282E+11,2.81466E+11,1.31917E+12,1.04403E+11,3.32101E+11,1.54016E+12,3.38533E+11,6.60238E+11,2.66826E+11,5.45292E+11,2.89095E+11,8.97283E+11,6.30766E+11,6.20671E+11,3.41963E+11,3.02725E+11,1.10731E+12,7.07602E+11,1.30652E+12,3.56509E+11,1.1817E+11,2.73059E+11,7.96968E+11,1.84375E+11,3.8293E+11,1.05103E+11,2.34589E+11,2.18607E+11,40006514257,2.28448E+11,2.5967E+12,2.40487E+11,1.31693E+12,3.81245E+11,4.42431E+11,4.22526E+11,7.93843E+11,5.19561E+11,2.63313E+11,2.07552E+11,6.1841E+11,1.58271E+12,5.44325E+11,1.89571E+11,8.27604E+11,8.40578E+11,2.71584E+11,2.79059E+11,1.25949E+11
August 2017,73332616653,64826412310,4.96766E+11,78869988239,2.07904E+11,58622426562,1.18609E+12,6701211417,1.58562E+12,2.0567E+12,2.34732E+11,3.19076E+11,1.7458E+11,8.61431E+11,4.80643E+11,4.80263E+11,2.03749E+11,8.25827E+11,1.75868E+11,41106138987,3.26484E+11,2.22764E+11,3.29151E+11,26566960976,3.75845E+11,3.49523E+11,9.30199E+11,4.99629E+11,4.12209E+11,1.96168E+11,1.83268E+11,9.47786E+11,1.14721E+12,7.72405E+11,1.40836E+11,3.70777E+11,3.68557E+11,5.7284E+11,41301687626,2.55962E+11,2.77895E+11,5.41101E+11,61480834100,4.90561E+11,50213415309,7.6463E+11,1.0722E+11,7.38584E+11,1.65892E+11,35820401611,71586158702,5.61323E+11,3.74138E+11,6.3628E+11,69499783392,5.18592E+11,1.16611E+12,1.04072E+12,3.19375E+11,1.99453E+11,2.64637E+11,10448449518,2.17107E+11,95957387192
August 2018,2.25712E+11,1.24788E+11,1.14722E+12,1.63189E+11,8.63344E+11,2.46542E+11,9.98033E+11,65446997662,1.76132E+11,1.1443E+13,6.47215E+11,2.09102E+12,3.55874E+11,1.53294E+12,3.40807E+12,6.00742E+11,3.48123E+11,1.21275E+12,42557477603,2.70591E+11,1.33783E+12,1.17347E+12,6.70404E+11,2.80684E+11,5.57308E+11,4.20698E+11,3.87847E+11,1.51654E+12,6.76882E+11,3.64554E+11,3.13605E+11,1.14497E+12,1.62563E+12,1.57806E+12,4.24606E+11,8.96543E+11,85459173331,3.89949E+11,2.06605E+11,3.97821E+11,87994112542,3.09146E+11,1.46613E+11,3.88119E+11,1.80438E+11,2.28811E+12,4.6942E+11,1.09572E+12,3.00878E+11,3.26393E+11,3.14226E+11,7.3572E+11,7.9403E+11,3.46073E+11,1.7355E+11,6.00368E+11,1.62494E+12,6.04625E+11,3.3696E+11,3.89979E+11,4.50601E+11,1.47831E+11,2.31694E+11,3.57806E+11
December 2017,1.60143E+11,2.45655E+11,1.14319E+12,1.96555E+11,5.38101E+11,1.497E+11,1.34763E+12,59464740659,2.25809E+12,1.15702E+13,4.06258E+11,4.38739E+11,2.0666E+11,1.08208E+12,2.75085E+12,6.24838E+11,4.69348E+11,9.47356E+11,3.98804E+11,5.22123E+11,8.54944E+11,3.91197E+11,5.12301E+11,3.06935E+11,4.32749E+11,1.55581E+11,6.99107E+11,3.21104E+11,5.53246E+11,3.56335E+11,2.69476E+11,7.8363E+11,1.1086E+12,1.00912E+12,2.60462E+11,5.06534E+11,5.62783E+11,5.84079E+11,2.90256E+11,78447367625,2.05347E+11,6.0784E+11,1.38471E+11,8.34357E+11,5.23767E+11,2.97579E+12,3.67469E+11,9.46437E+11,2.14688E+11,3.74148E+11,5.37258E+11,5.80311E+11,8.60282E+11,1.91858E+11,1.04454E+11,5.2125E+11,1.09539E+12,1.46207E+12,2.38813E+11,1.59308E+12,8.36798E+11,2.83683E+11,2.15275E+11,2.85341E+11
February 2018,1.85109E+11,1.71601E+11,6.91958E+11,2.45675E+11,6.50724E+11,1.59763E+11,1.73538E+12,10434879455,2.27677E+12,1.35132E+13,3.60725E+11,5.86453E+11,2.52348E+11,1.15617E+12,2.53362E+12,6.5408E+11,3.21302E+11,1.01734E+12,3.27649E+11,3.676E+11,1.1144E+12,2.19214E+11,6.83763E+11,2.48763E+11,4.24776E+11,1.04408E+11,7.85527E+11,1.21199E+11,5.17946E+11,3.47719E+11,2.66802E+11,8.21138E+11,5.84722E+11,1.09843E+12,1.94716E+11,2.75693E+11,5.52897E+11,8.14658E+11,1.35366E+11,2.46057E+11,1.54427E+11,4.21165E+11,2.28086E+11,2.65399E+11,4.82372E+11,2.98678E+12,2.90014E+11,9.75063E+11,2.04687E+11,4.24677E+11,4.35466E+11,6.1233E+11,2.47003E+11,2.17294E+11,84202351044,4.95692E+11,1.1189E+12,1.03723E+12,1.55896E+11,8.82774E+11,8.04578E+11,2.07517E+11,2.22218E+11,1.4186E+11
January 2018,1.6899E+11,1.7904E+11,1.22874E+12,2.56912E+11,6.42045E+11,1.64948E+11,1.12859E+12,15557912924,1.7588E+12,8.12349E+12,4.8137E+11,4.97886E+11,2.75127E+11,1.09354E+12,2.59419E+12,6.50007E+11,3.91297E+11,1.01431E+12,4.59622E+11,6.3527E+11,9.58262E+11,3.94335E+11,5.80873E+11,2.57633E+11,4.75527E+11,1.60408E+11,7.76893E+11,2.19337E+11,6.01431E+11,3.56439E+11,2.92132E+11,8.67421E+11,7.13083E+11,1.09228E+12,1.96008E+11,4.0776E+11,4.20399E+11,6.3459E+11,1.04617E+11,1.75356E+11,1.70093E+11,5.15894E+11,1.49724E+11,4.6359E+11,4.12458E+11,2.52657E+12,3.03674E+11,9.44609E+11,1.9372E+11,3.51688E+11,4.0839E+11,6.20946E+11,3.08449E+11,1.29771E+11,94847239603,5.02388E+11,1.18931E+12,1.24767E+12,1.43408E+11,7.85718E+11,6.21351E+11,2.55101E+11,2.25438E+11,2.60897E+11
July 2017,61824039061,67319141663,5.55131E+11,1.04482E+11,1.86715E+11,36945086932,1.45523E+12,7121756054,1.85354E+12,1.0263E+13,2.12236E+11,2.40718E+11,1.57412E+11,9.20053E+11,1.00686E+12,3.83083E+11,1.16351E+11,7.85671E+11,3.18276E+11,1.3537E+11,3.8966E+11,2.27378E+11,3.43493E+11,55001178576,3.97013E+11,3.12806E+11,2.46045E+12,5.50283E+11,4.5236E+11,1.76515E+11,1.67005E+11,9.93449E+11,1.17803E+12,7.69672E+11,1.63784E+11,4.93371E+11,4.63327E+11,6.70116E+11,44614645579,1.16618E+11,4.11372E+11,6.45455E+11,68993186092,4.44193E+11,28283494554,1.60296E+12,1.01351E+11,7.05275E+11,1.33331E+11,19398731906,82096231863,5.248E+11,6.3244E+11,6.29025E+11,68809432755,5.57199E+11,1.19412E+12,1.09561E+12,2.56187E+11,27568400458,2.27852E+11,6107989473,2.29562E+11,56780055241
July 2018,2.56983E+11,1.46652E+11,8.75307E+11,1.69825E+11,6.42198E+11,1.88515E+11,8.32039E+11,67256916449,1.67747E+11,8.24193E+12,4.67955E+11,1.65943E+12,3.78211E+11,1.49851E+12,1.88197E+12,6.48931E+11,3.05821E+11,1.23069E+12,83636970217,4.67972E+11,1.42951E+12,8.16374E+11,6.37176E+11,2.41274E+11,5.2823E+11,3.55667E+11,2.79367E+11,1.15044E+12,6.56284E+11,3.48613E+11,2.54964E+11,1.06955E+12,1.0951E+12,1.49058E+12,3.77348E+11,7.81406E+11,1.73203E+11,3.425E+11,2.06378E+11,2.95289E+11,82146327675,3.91282E+11,1.49429E+11,2.97013E+11,2.75524E+11,1.90962E+12,3.67266E+11,1.10997E+12,3.45235E+11,3.13306E+11,2.80152E+11,7.37046E+11,2.77842E+11,1.51459E+11,1.3749E+11,5.42166E+11,1.66078E+12,4.65028E+11,3.34914E+11,5.02771E+11,6.49448E+11,1.91507E+11,2.37919E+11,2.11657E+11
June 2017,54855515045,67911398175,5.91754E+11,98767609478,1.63688E+11,40381436512,1.45981E+12,8096717915,1.67193E+12,8.45882E+12,1.72209E+11,2.09155E+11,1.60807E+11,8.23754E+11,1.32631E+12,3.88185E+11,2.44233E+11,7.47756E+11,3.54973E+11,1.75417E+11,3.20864E+11,1.56078E+11,3.88367E+11,48053875148,3.84697E+11,2.26874E+11,2.06012E+12,7.18506E+11,4.08247E+11,1.97087E+11,1.5614E+11,1.06986E+12,8.47023E+11,7.60836E+11,1.34065E+11,4.55374E+11,3.21516E+11,5.92596E+11,42783559526,73813314444,4.01351E+11,5.65194E+11,65909228460,4.808E+11,68252905042,2.07383E+12,1.5145E+11,7.07277E+11,1.43161E+11,29298382260,79571867464,5.34546E+11,5.93834E+11,5.67482E+11,77747917998,5.59075E+11,1.2522E+12,8.0095E+11,3.2966E+11,31435649367,1.64661E+11,10214254543,2.32015E+11,84150235857
June 2018,1.91511E+11,1.40749E+11,8.1851E+11,1.35822E+11,5.97756E+11,1.38783E+11,5.53708E+11,55380055382,4.9805E+11,1.47807E+13,4.78948E+11,1.0476E+12,3.14616E+11,1.40115E+12,2.225E+12,6.16141E+11,2.35064E+11,1.15255E+12,1.65551E+11,6.38701E+11,1.42846E+12,6.19528E+11,6.13162E+11,1.89373E+11,5.17917E+11,3.99417E+11,4.95464E+11,1.01864E+12,5.80833E+11,3.29845E+11,2.75014E+11,1.01668E+12,8.63996E+11,1.25871E+12,3.38239E+11,5.22119E+11,2.74423E+11,2.65361E+11,2.01303E+11,2.13313E+11,60448138039,4.57567E+11,1.81009E+11,1.51216E+11,3.00939E+11,2.70809E+12,2.99561E+11,1.01003E+12,2.85528E+11,3.16112E+11,3.07549E+11,6.58449E+11,3.95831E+11,52101818957,1.54892E+11,5.47954E+11,1.476E+12,2.20087E+11,2.39498E+11,9.9505E+11,7.30598E+11,1.81385E+11,2.1214E+11,1.68275E+11
